formula_id,principle_id,is_main
F001,TP071,NULL
F001,TP072,NULL
F001,TP076,NULL
F002,TP009,NULL
F002,TP072,NULL
F003,TP040,NULL
F003,TP072,NULL
F004,TP070,TRUE
F004,TP072,NULL
F005,TP070,NULL
F005,TP076,NULL
F006,TP070,NULL
F007,TP021,NULL
F007,TP070,NULL
F008,TP021,NULL
F009,TP004,NULL
F009,TP013,NULL
F010,TP004,NULL
F011,TP004,NULL
F012,TP066,NULL
F012,TP087,NULL
F013,TP087,NULL
F014,TP020,NULL
F015,TP020,NULL
F016,TP068,NULL
F016,TP072,NULL
F017,TP068,NULL
F018,TP068,NULL
F019,TP032,NULL
F019,TP075,NULL
F020,TP032,NULL
F021,TP076,NULL
F022,TP076,NULL
F023,TP031,NULL
F023,TP076,NULL
F024,TP076,NULL
F025,TP029,NULL
F026,TP029,NULL
F027,TP060,NULL
F028,TP058,NULL
F029,TP060,NULL
F029,TP061,NULL
F030,TP058,NULL
F031,TP058,NULL
F032,TP040,NULL
F033,TP040,NULL
F034,TP042,NULL
F035,TP042,NULL
F036,TP042,NULL
F037,TP047,NULL
F038,TP038,NULL
F039,TP038,NULL
F040,TP066,NULL
F041,TP024,NULL
F042,TP066,NULL
F043,TP084,NULL
F044,TP084,NULL
F045,TP084,NULL
F046,TP084,NULL
F047,TP084,NULL
F048,TP022,NULL
F049,TP022,NULL
F050,TP007,NULL
F050,TP038,NULL
F050,TP093,NULL
F051,TP093,NULL
F052,TP093,NULL
F053,TP093,NULL
F054,TP042,NULL
F055,TP042,NULL
F056,TP088,NULL
F057,TP013,NULL
F058,TP013,NULL
F059,TP020,NULL
F061,TP061,NULL
F062,TP061,NULL
F063,TP065,NULL
F064,TP065,NULL
F065,TP065,NULL
F066,TP061,NULL
F066,TP065,NULL
F067,TP061,NULL
F067,TP065,NULL
F068,TP031,NULL
F069,TP031,NULL
F070,TP010,NULL
F071,TP010,NULL
F072,TP010,NULL
F073,TP044,NULL
F074,TP044,NULL
F075,TP013,NULL
F076,TP032,NULL
F077,TP071,NULL
F078,TP084,NULL
F079,TP088,NULL
F080,TP085,NULL
F081,TP085,NULL
