herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian_main,indication_vi,safety_note,data_source,,image_url
H001,Ba kích,Morinda officinalis,"Cam, tân",Ôn,Dương,Thủy,Thuốc bổ dương  (thuốc trợ dương),Thận,"Bổ thận dương, mạnh gân cốt, dùng cho thận dương suy nhược gây liệt dương, di tinh, tiết tinh sớm, đau lưng mỏi gối, phụ nữ đau bụng dưới, hiếm muộn, người già lưng đau gối mỏi","Kiêng dùng cho người âm hư hỏa thịnh, đại tiện bí táo","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 349",,https://upload.wikimedia.org/wikipedia/commons/2/24/Dried_morinda_officinale.jpg
H002,Bách bộ,Stemona tuberosa,"Cam, khổ",Ôn,Dương,Kim,"Thuốc hóa đàm, chỉ ho, bình suyễn",Phế,"Ôn phế, nhuận phế, chỉ khái, dùng cho ho lâu ngày do viêm khí quản, ho gà, lao hạch cổ kết quả, ho do viêm họng, thanh tràng trị viêm đại tràng mạn, giải độc, diệt giun kim, diệt chấy rận","Kiêng dùng cho người dạ dày và ruột yếu, tiêu chảy","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 245",,https://upload.wikimedia.org/wikipedia/commons/f/f4/Plants_of_the_coast_of_Coromandel_Coast_Tamil_Nadu_Andhra_Pradesh_India_Flora_Fruits_Flowers_%2828%29.jpg
H003,Bạch chỉ,Angelica dahurica,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị, Đại trường","Giải cảm hàn, trừ phong giảm đau, dùng cho đau đầu, đau vùng trán và hai bên thái dương, đau răng, viêm mũi mạn, nghẹt mũi, chảy nước mũi; tiêu viêm, bài mủ trong nhọt độc, viêm tuyến vú, rắn cắn, hành huyết điều kinh, giảm đau bụng kinh, đau ngực","Kiêng dùng cho người thuộc chứng hư, uất hỏa, sốt xuất huyết không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 176",,https://upload.wikimedia.org/wikipedia/commons/6/62/Angelica_dahurica_%288855221294%29.jpg
H004,Bạch biến đậu (Đậu ván),Lablab purpureus L,Cam,Ôn,Dương,Thổ,Thuốc bổ khí,"Tỳ, Vị","Kiện tỳ, hòa trung, giải thử, hóa thấp. Trị cảm nắng, nôn mửa, tiêu chảy","Không dùng khi thực nhiệt, táo bón","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 290",,https://upload.wikimedia.org/wikipedia/commons/c/c2/Lablab_purpureus_%28L.%29_Sweet_%2850855769696%29.jpg
H005,Bạch cương tàm,Bombyx mori L.,"Hàm, tân",Bình,Trung tính,"Hỏa, Mộc, Thổ, Kim",Thuốc bình can tắt phong,"Tâm, Can, Tỳ, Phế","Trị can phong nội động gây đau đầu, chóng mặt, sốt cao, co giật, thiên đầu thống, đau cổ họng, viêm amidan cấp, mất tiếng và trẻ em khóc đêm (khóc dạ đề). Giải độc, trị sang lở, mụn nhọt hoặc các vết sạm ở mặt",Những người huyết hư hoặc thể hư mà không có phong tà thì không nên dùng.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 258",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-cuong-tam-duoc-lieu-tue-linh-1.jpg
H006,Bạch giới tử,Sinapis alba L.,"Tân, ôn",Ôn,Dương,Kim,Thuốc hóa đàm hàn,Phế,"Trị bệnh ho do đàm hàn ngưng đọng ở phế, hoặc suyễn tức, nhiều đàm mà loãng, ngực đau đầy trướng. Hành khí, giảm đau đối với trường hợp khí trệ, đàm ứ đọng, đau khớp. Tiêu ung nhọt, tán kết: dùng đối với nhọt bọc hoặc viêm hạch lâm ba","Những người khí hư có nhiệt và ho khan do phế hư không nên dùng. Chú ý: Có thể gây kích thích da, sung huyết, đỏ đau hoặc dộp da nếu tiếp xúc lâu; uống quá liều có thể gây nôn, viêm dạ dày, ruột, đau bụng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 237",,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/bach-gioi-tu.jpg
H007,Bạch mao căn,Imperata cylindrica (L.) P. Beauv,Cam,Hàn,Âm mạnh,"Kim, Thổ",Thuốc thanh nhiệt lương huyết,"Phế, Vị","Trừ phục nhiệt, tiêu ứ huyết: dùng khi nội nhiệt sinh phiền khát, phế nhiệt sinh ho, suyễn tức, khó thở, ngực đầy trướng, bí tích, vị nhiệt sinh nôn lợm.
 Lương huyết chỉ huyết: dùng khi tiểu tiện ra máu, thổ huyết, máu cam, ho ra máu.
 Lợi niệu tiêu phù nề: dùng trong bệnh viêm thận cấp, tiểu tiện khó khăn, đái dắt, đái buốt, bệnh hoàng đản thấp nhiệt.
Thanh phế chỉ ho: phối hợp phòng bệnh ho gà.",Phụ nữ có thai và những người ở thể hư hàn không có thực nhiệt không nên dùng.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 233",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/co-tranh2.jpg
H008,Bạch tật lê,Tribulus terrestris,"Khổ, tân",Ôn,Dương,"Mộc, Kim",Thuốc bình can tắt phong,"Can, Phế","Công năng: Bình can tiềm dương, hành khí trong can và giải uất, khu phong giảm ngứa, làm sáng mắt. Chủ trị: Can dương vượng, nhức đầu, chóng mặt, Can uất khí trệ, hông sườn đầy trướng, ngứa toàn thân, sưng đỏ mắt",Người huyết hư khí yếu không dùng.,"https://duocdienvietnam.com/bach-tat-le-qua/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 260",,https://upload.wikimedia.org/wikipedia/commons/d/d9/Starr_030612-0063_Tribulus_terrestris.jpg
H009,Bạch truật (Thân rễ),Atractylodes macrocephala Koidz.,"Khổ, cam",Ôn,Dương,Thổ,Thuốc hành khí giải uất,"Tỳ, Vị","Tác dụng: Kiện tỳ ích khí, táo thấp, lợi thủy, cố biểu liễm hân, an thai. Chủ trị: Tiêu hoá kém, bụng trướng tiêu chảy, phù thũng, tự hãn, động thai.","Âm hư nội nhiệt, tân dịch hư hao gây đại tiện táo, không dùng","https://duocdienvietnam.com/bach-truat-than-re/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 285",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-truat.jpg
H010,Bồ công anh,Lactuca indica L.,"Khổ, cam",Hàn,Âm mạnh,"Mộc, Thổ",Thuốc thanh nhiệt giải độc,"Can, Vị","Thanh nhiệt giải độc, tiêu viêm tán kết. Chủ trị: Mụn nhọt sang lở, tắc tia sữa, viêm tuyến vú, nhiễm trùng đường tiết niệu.","Các chứng âm hư hoặc tràng nhạc, ung nhọt đã vỡ cấm dùng","https://duocdienvietnam.com/bo-cong-anh/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 202",,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bo-cong-anh.jpg
H011,Chỉ thực,Citrus aurantium L.,"Khổ, tân, toan",Vi hàn,Âm,Thổ,Thuốc phá khí giáng nghịch,"Tỳ, Vị","Phá khí tiêu tích, hóa đờm tiêu bĩ. Chủ trị: Thực tích, thực nhiệt tích ờ đại tràng gây táo bón, đàm trọc ứ trệ ở ngực gây đau trong ngực, ăn không tiêu, bụng đầy trướng.","Phụ nữ có thai, tỳ vị hư hàn mà không đầy tích thì không nên dùng","https://duocdienvietnam.com/chi-thuc/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 280",,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/435-citrus-aurantium-l.jpg
H012,Chỉ xác,Citrus aurantium L.,"Khổ, tân",Lương,Âm,Thổ,Thuốc phá khí giáng nghịch,"Tỳ, Vị","Phá khí hóa đờm tiêu tích (Hòa hoãn hơn Chi thực. Chủ trị: Ngực sườn trướng đau do khí trệ, khó tiêu do đờm trệ.","Tỳ vị hư hàn không có tích trệ, phụ nữ có thai không nên dùng.","https://duocdienvietnam.com/chi-xac/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 280",,httphttps://tracuuduoclieu.vn/wp-content/uploads/2018/04/chi-xac-duoc-lieu-tue-linh-1.jpg
H013,Cỏ nhọ nồi,Herba Ecliptae,"Cam, toan",Hàn,Âm mạnh,"Mộc, Thủy",Thuốc chỉ huyết,"Can, Thận","Công năng: Lương huyết, chỉ huyết, bổ can thận. Chủ trị: Can, thận âm hư, các chứng huyết nhiệt, chứng ho ra máu, nôn ra máu, đại tiện và tiểu tiện ra máu, chảy máu cam, chảy máu dưới da, băng huyết, rong huyết.",Tỳ vị hư hàn. ỉa chảy phân sống không nên dùng.,"https://duocdienvietnam.com/co-nho-noi/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 304",,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/co-nho-noi1.jpg
