pattern_id,principle_id,condition_note,priority_level
SP001,TP001,,0
SP001,TP002,,0
SP001,TP003,,0
SP002,TP004,,0
SP003,TP005,,0
SP003,TP006,,0
SP004,TP007,,0
SP004,TP008,,0
SP004,TP009,,0
SP005,TP010,,0
SP006,TP001,,0
SP006,TP002,,0
SP006,TP011,,0
SP006,TP012,,0
SP007,TP001,,0
SP007,TP002,,0
SP007,TP007,,0
SP007,TP008,,0
SP007,TP012,,0
SP008,TP002,,0
SP008,TP013,,0
SP008,TP007,,0
SP008,TP008,,0
SP008,TP012,,0
SP009,TP014,,0
SP009,TP015,,0
SP010,TP016,,0
SP010,TP017,,0
SP011,TP005,,0
SP011,TP018,,0
SP012,TP007,,0
SP012,TP093,,0
SP012,TP094,,0
SP013,TP002,,0
SP013,TP011,,0
SP013,TP012,,0
SP013,TP019,,0
SP014,TP001,,0
SP014,TP002,,0
SP014,TP019,,0
SP014,TP020,,0
SP015,TP011,,0
SP015,TP021,,0
SP015,TP022,,0
SP016,TP023,,0
SP016,TP024,,0
SP016,TP002,,0
SP016,TP007,,0
SP016,TP011,,0
SP016,TP013,,0
SP017,TP009,,0
SP017,TP025,,0
SP018,TP002,,0
SP018,TP011,,0
SP018,TP019,,0
SP018,TP021,,0
SP019,TP005,,0
SP019,TP026,,0
SP020,TP027,,0
SP020,TP028,,0
SP021,TP029,,0
SP022,TP030,,0
SP023,TP031,,0
SP024,TP002,,0
SP024,TP024,,0
SP024,TP032,,0
SP025,TP002,,0
SP025,TP024,,0
SP025,TP032,,0
SP026,TP033,,0
SP027,TP030,,0
SP028,TP034,,0
SP028,TP035,,0
SP029,TP014,,0
SP030,TP005,,0
SP031,TP036,,0
SP031,TP037,,0
SP032,TP011,,0
SP032,TP013,,0
SP032,TP038,,0
SP033,TP038,,0
SP033,TP039,,0
SP033,TP040,,0
SP034,TP041,,0
SP034,TP001,,0
SP034,TP011,,0
SP035,TP042,,0
SP036,TP043,,0
SP037,TP044,,0
SP038,TP045,,0
SP039,TP014,,0
SP040,TP001,,0
SP040,TP002,,0
SP040,TP003,,0
SP040,TP011,,0
SP041,TP001,,0
SP041,TP002,,0
SP041,TP011,,0
SP041,TP007,,0
SP042,TP004,,0
SP042,TP046,,0
SP043,TP047,,0
SP043,TP009,,0
SP044,TP048,,0
SP044,TP049,,0
SP045,TP024,,0
SP045,TP050,,0
SP046,TP051,,0
SP047,TP052,,0
SP047,TP053,,0
SP048,TP054,,0
SP048,TP055,,0
SP049,TP056,,0
SP049,TP095,,0
SP050,TP057,thiên về âm hư,0
SP050,TP058,thiên về âm huyết hư sinh phong,0
SP050,TP059,thiên về âm huyết hư sinh phong,0
SP051,TP060,,0
SP051,TP061,,0
SP051,TP050,,0
SP052,TP062,,0
SP053,TP063,,0
SP054,TP055,,0
SP055,TP042,,0
SP056,TP064,,0
SP057,TP065,Thực chứng,0
SP057,TP066,Thực chứng,0
SP057,TP067,Hư chứng,0
SP058,TP068,,0
SP059,TP042,,0
SP060,TP047,,0
SP061,TP096,,0
SP062,TP069,,0
SP063,TP070,,0
SP063,TP071,,0
SP064,TP072,,0
SP064,TP073,,0
SP065,TP074,Phép trị chính,1
SP065,TP070,Nếu ôn táo,2
SP065,TP072,Nếu lương táo,2
SP066,TP024,,0
SP066,TP075,,0
SP066,TP076,,0
SP066,TP077,,0
SP067,TP032,,0
SP067,TP078,,0
SP068,TP072,,0
SP068,TP079,,0
SP069,TP070,,0
SP070,TP080,,0
SP070,TP081,,0
SP071,TP082,,0
SP072,TP083,,0
SP072,TP084,,0
SP073,TP042,,0
SP073,TP046,,0
SP073,TP085,,0
SP074,TP086,,0
SP075,TP087,,0
SP075,TP088,,0
SP075,TP021,,0
SP076,TP047,,0
SP076,TP089,,0
SP077,TP014,,0
SP077,TP090,,0
SP078,TP091,,0
SP078,TP092,,0
SP079,TP097,Phép trị chính,1
SP079,TP021,Phối hợp khi nhiệt độc nặng,2
SP079,TP076,Phối hợp nếu ho nhiều,3
